Date,Close
2020-11-23,170.7
2020-11-24,172.05
2020-11-25,171.45
2020-11-26,173.75
2020-11-27,180.35
2020-12-01,179.75
2020-12-02,183.6
2020-12-03,184.85
2020-12-04,184.15
2020-12-07,183.55
2020-12-08,181.8
2020-12-09,182.7
2020-12-10,177.6
2020-12-11,178.85
2020-12-14,177.65
2020-12-15,178.9
2020-12-16,182.55
2020-12-17,181.7
2020-12-18,180.55
2020-12-21,164.55
2020-12-22,164.95
2020-12-23,169.2
2020-12-24,175.95
2020-12-28,186.35
2020-12-29,183.45
2020-12-30,184.15
2020-12-31,183.85
2021-01-01,186.5
2021-01-04,191.3
2021-01-05,193.2
2021-01-06,195.4
2021-01-07,196.75
2021-01-08,198.15
2021-01-11,220.65
2021-01-12,237.8
2021-01-13,242.6
2021-01-14,245.1
2021-01-15,260.3
2021-01-18,245.95
2021-01-19,258.65
2021-01-20,274.9
2021-01-21,290.6
2021-01-22,289.35
2021-01-25,279.15
2021-01-27,267.5
2021-01-28,266.8
2021-01-29,262.7
2021-02-01,279.6
2021-02-02,322.0
2021-02-03,331.0
2021-02-04,326.15
2021-02-05,315.9
2021-02-08,335.95
2021-02-09,325.05
2021-02-10,328.9
2021-02-11,325.0
2021-02-12,325.4
2021-02-15,333.35
2021-02-16,329.2
2021-02-17,330.15
2021-02-18,323.85
2021-02-19,311.85
2021-02-22,304.5
2021-02-23,324.0
2021-02-24,321.65
2021-02-25,333.15
2021-02-26,322.95
2021-03-01,328.3
2021-03-02,345.75
2021-03-03,348.5
2021-03-04,339.2
2021-03-05,325.15
2021-03-08,321.25
2021-03-09,315.2
2021-03-10,321.45
2021-03-12,317.55
2021-03-15,318.55
2021-03-16,319.95
2021-03-17,305.8
2021-03-18,307.0
2021-03-19,308.95
2021-03-22,303.05
2021-03-23,307.4
2021-03-24,294.45
2021-03-25,285.55
2021-03-26,296.4
2021-03-30,297.05
2021-03-31,301.8
2021-04-01,307.75
2021-04-05,305.05
2021-04-06,307.75
2021-04-07,307.8
2021-04-08,313.95
2021-04-09,318.2
2021-04-12,286.55
2021-04-13,302.85
2021-04-15,303.5
2021-04-16,310.0
2021-04-19,301.4
2021-04-20,298.05
2021-04-22,294.55
2021-04-23,294.0
2021-04-26,295.4
2021-04-27,301.5
2021-04-28,305.9
2021-04-29,301.9
2021-04-30,293.85
2021-05-03,293.0
2021-05-04,289.45
2021-05-05,291.5
2021-05-06,301.25
2021-05-07,302.75
2021-05-10,314.85
2021-05-11,315.55
2021-05-12,326.0
2021-05-14,312.25
2021-05-17,321.1
2021-05-18,332.45
2021-05-19,314.45
2021-05-20,307.7
2021-05-21,313.1
2021-05-24,311.85
2021-05-25,315.25
2021-05-26,315.5
2021-05-27,318.6
2021-05-28,318.75
2021-05-31,318.75
2021-06-01,318.1
2021-06-02,323.0
2021-06-03,325.65
2021-06-04,334.95
2021-06-07,345.5
2021-06-08,352.75
2021-06-09,343.35
2021-06-10,344.75
2021-06-11,350.75
2021-06-14,355.95
2021-06-15,352.7
2021-06-16,349.35
2021-06-17,345.65
2021-06-18,337.4
2021-06-21,334.3
2021-06-22,337.9
2021-06-23,335.25
2021-06-24,334.65
2021-06-25,339.65
2021-06-28,342.8
2021-06-29,341.55
2021-06-30,339.6
2021-07-01,344.25
2021-07-02,344.9
2021-07-05,346.1
2021-07-06,316.9
2021-07-07,317.1
2021-07-08,306.35
2021-07-09,306.3
2021-07-12,307.45
